pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
4,-1,-176,0,0,-1,81,83,322,300,79,94.83,274,99,18,-994,0.102
4,-1,-176,0,0,-1,81,82,324,300,79,95.41,274,95,22,-979,0.102
5,-1,-176,0,0,0,81,82,326,300,79,94.9,274,88,11,-973,0.102
4,-1,-175,0,0,0,81,82,326,300,79,95.05,274,73,9,-957,0.102
4,0,-175,0,0,0,81,82,327,300,79,95.33,274,88,28,-967,0.102
4,0,-175,0,0,0,81,82,326,300,79,95.31,274,72,42,-977,0.102
3,-1,-176,0,0,0,81,82,324,300,79,95.09,275,75,60,-971,0.103
4,-2,-176,0,0,0,81,82,326,300,79,95.21,275,87,56,-987,0.101
3,-2,-176,0,0,0,81,82,324,300,79,95.02,275,89,53,-968,0.102
3,-2,-176,0,0,0,81,82,324,300,79,95,275,89,43,-1002,0.102
4,-2,-176,0,0,0,81,82,324,300,79,95.09,275,74,49,-1002,0.102
4,-3,-176,0,0,0,80,82,334,300,79,95.1,275,82,61,-1002,0.102
3,-3,-176,0,0,0,80,82,325,300,79,94.96,275,80,51,-967,0.102
3,-2,-176,0,0,0,80,82,328,300,79,95.07,275,74,29,-975,0.102
3,-2,-176,0,0,0,80,82,326,300,79,94.98,275,91,33,-982,0.102
3,-3,-176,0,0,0,80,82,323,300,79,94.92,275,65,30,-983,0.102
3,-3,-176,0,0,0,80,82,319,300,79,94.99,276,82,45,-1024,0.102
3,-3,-176,0,0,0,80,82,320,300,79,95.13,276,64,45,-971,0.102
3,-2,-176,0,0,0,80,82,320,300,79,95.16,276,84,40,-995,0.102
4,-2,-176,0,0,0,80,82,323,300,79,94.88,276,109,61,-1127,0.102
5,-2,-176,0,0,-1,80,82,320,300,79,95.36,276,90,63,-1128,0.102
5,-2,-176,0,0,-3,80,83,333,300,79,95.38,276,79,65,-1161,0.102
4,-2,-176,0,0,-4,80,83,337,310,79,95,276,111,63,-1165,0.102
4,-3,-176,0,0,-6,80,83,339,310,79,95.22,276,67,38,-1128,0.102
4,-3,-176,0,0,-7,80,83,340,320,79,95.2,276,82,44,-1076,0.102
4,-3,-176,0,0,-8,80,83,356,330,79,95.64,276,91,37,-1026,0.102
5,-3,-176,0,0,-9,80,83,364,340,79,95.63,277,114,51,-1056,0.102
5,-3,-176,0,0,-9,80,83,380,350,79,95.57,277,116,47,-992,0.102
5,-3,-176,0,0,-9,80,83,387,360,79,95.67,277,113,56,-990,0.051
5,-3,-176,0,0,-9,80,83,399,370,79,95.4,277,85,50,-952,0.102
5,-2,-176,0,0,-9,80,83,404,380,79,95.95,277,113,47,-934,0.102
4,-3,-176,0,0,-9,80,82,418,380,79,96.01,277,89,38,-948,0.102
5,-3,-176,0,0,-8,80,82,419,390,79,96.06,277,120,40,-980,0.102
4,-3,-176,0,0,-8,80,82,431,400,79,96.17,277,110,38,-950,0.103
3,-2,-176,0,0,-8,80,82,449,410,79,96.39,277,104,23,-933,0.102
4,-2,-176,0,0,-7,80,82,459,420,79,96.31,277,92,40,-937,0.102
5,-1,-176,0,0,-6,80,82,467,420,79,96.23,278,104,41,-950,0.102
5,-1,-176,0,0,-6,80,82,470,430,79,96.24,278,86,49,-941,0.102
4,-1,-176,0,0,-5,80,82,482,440,78,96.33,278,91,42,-940,0.102
4,-1,-176,0,0,-5,80,82,489,440,78,96.22,278,92,79,-923,0.102
4,-1,-176,0,0,-4,80,82,502,450,78,96.43,278,83,72,-934,0.102
3,-1,-176,0,0,-4,80,82,494,450,78,96.83,278,65,69,-938,0.102
3,-2,-176,0,0,-3,80,82,500,460,78,96.84,278,71,71,-983,0.102
3,-3,-176,0,-1,-3,80,82,504,460,78,96.61,278,83,93,-949,0.102
3,-5,-176,0,-1,-4,80,82,522,470,78,96.94,278,79,74,-951,0.102
